"Title","Artist(s)","Year","Rank"
"""Volare (Nel blu dipinto di blu)""","Domenico Modugno",1958,1
"""All I Have to Do Is Dream"" / ""Claudette""","The Everly Brothers",1958,2
"""Don't"" / ""I Beg of You""","Elvis Presley",1958,3
"""Witch Doctor""","David Seville",1958,4
"""Patricia""","Perez Prado",1958,5
"""Sail Along, Silv'ry Moon"" / ""Raunchy""","Billy Vaughn",1958,6
"""Catch a Falling Star"" / ""Magic Moments""","Perry Como",1958,7
"""Tequila""","The Champs",1958,8
"""It's All in the Game""","Tommy Edwards",1958,9
"""Return to Me""","Dean Martin",1958,10
"""It's Only Make Believe""","Conway Twitty",1958,11
"""The Purple People Eater""","Sheb Wooley",1958,12
"""Bird Dog"" / ""Devoted to You""","The Everly Brothers",1958,13
"""Get a Job""","The Silhouettes",1958,14
"""Little Star""","The Elegants",1958,15
"""Twilight Time""","The Platters",1958,16
"""Stood Up"" / ""Waitin' in School""","Ricky Nelson",1958,17
"""He's Got the Whole World in His Hands""","Laurie London",1958,18
"""Secretly""","Jimmie Rodgers",1958,19
"""At the Hop""","Danny & the Juniors",1958,20
"""The Battle of New Orleans""","Johnny Horton",1959,1
"""Mack the Knife""","Bobby Darin",1959,2
"""Personality""","Lloyd Price",1959,3
"""Venus""","Frankie Avalon",1959,4
"""Lonely Boy""","Paul Anka",1959,5
"""Dream Lover""","Bobby Darin",1959,6
"""The Three Bells""","The Browns",1959,7
"""Come Softly to Me""","The Fleetwoods",1959,8
"""Kansas City""","Wilbert Harrison",1959,9
"""Mr. Blue""","The Fleetwoods",1959,10
"""Sleep Walk""","Santo & Johnny",1959,11
"""Put Your Head on My Shoulder""","Paul Anka",1959,12
"""Stagger Lee""","Lloyd Price",1959,13
"""Donna""","Ritchie Valens",1959,14
"""Pink Shoe Laces""","Dodie Stevens",1959,15
"""Smoke Gets in Your Eyes""","The Platters",1959,16
"""Charlie Brown""","The Coasters",1959,17
"""Quiet Village""","Martin Denny",1959,18
"""My Heart Is an Open Book""","Carl Dobkins Jr.",1959,19
"""(Till) I Kissed You""","The Everly Brothers",1959,20
"""Theme from A Summer Place""","Percy Faith",1960,1
"""He'll Have to Go""","Jim Reeves",1960,2
"""Cathy's Clown""","The Everly Brothers",1960,3
"""Running Bear""","Johnny Preston",1960,4
"""Teen Angel""","Mark Dinning",1960,5
"""I'm Sorry""","Brenda Lee",1960,6
"""It's Now or Never""","Elvis Presley",1960,7
"""Handy Man""","Jimmy Jones",1960,8
"""Stuck on You""","Elvis Presley",1960,9
"""The Twist""","Chubby Checker",1960,10
"""Everybody's Somebody's Fool""","Connie Francis",1960,11
"""Wild One""","Bobby Rydell",1960,12
"""Greenfields""","The Brothers Four",1960,13
"""What in the World's Come Over You""","Jack Scott",1960,14
"""El Paso""","Marty Robbins",1960,15
"""Alley Oop""","The Hollywood Argyles",1960,16
"""My Heart Has a Mind of Its Own""","Connie Francis",1960,17
"""Sweet Nothin's""","Brenda Lee",1960,18
"""Itsy Bitsy Teenie Weenie Yellow Polkadot Bikini""","Brian Hyland",1960,19
"""Only the Lonely""","Roy Orbison",1960,20
"""Tossin' and Turnin'""","Bobby Lewis",1961,1
"""I Fall to Pieces""","Patsy Cline",1961,2
"""Michael""","The Highwaymen",1961,3
"""Crying""","Roy Orbison",1961,4
"""Runaway""","Del Shannon",1961,5
"""My True Story""","The Jive Five",1961,6
"""Pony Time""","Chubby Checker",1961,7
"""Wheels""","The String-A-Longs",1961,8
"""Raindrops""","Dee Clark",1961,9
"""Wooden Heart""","Joe Dowell",1961,10
"""Calcutta""","Lawrence Welk",1961,11
"""Take Good Care of My Baby""","Bobby Vee",1961,12
"""Running Scared""","Roy Orbison",1961,13
"""Dedicated to the One I Love""","The Shirelles",1961,14
"""Last Night""","The Mar-Keys",1961,15
"""Will You Love Me Tomorrow""","The Shirelles",1961,16
"""Exodus""","Ferrante & Teicher",1961,17
"""Where the Boys Are""","Connie Francis",1961,18
"""Hit the Road Jack""","Ray Charles",1961,19
"""Sad Movies (Make Me Cry)""","Sue Thompson",1961,20
"""Stranger on the Shore""","Acker Bilk",1962,1
"""I Can't Stop Loving You""","Ray Charles",1962,2
"""Mashed Potato Time""","Dee Dee Sharp",1962,3
"""Roses Are Red (My Love)""","Bobby Vinton",1962,4
"""The Stripper""","David Rose",1962,5
"""Johnny Angel""","Shelley Fabares",1962,6
"""The Loco-Motion""","Little Eva",1962,7
"""Let Me In""","The Sensations",1962,8
"""The Twist""","Chubby Checker",1962,9
"""Soldier Boy""","The Shirelles",1962,10
"""Hey! Baby""","Bruce Channel",1962,11
"""The Wanderer""","Dion",1962,12
"""Duke of Earl""","Gene Chandler",1962,13
"""Palisades Park""","Freddy Cannon",1962,14
"""Breaking Up Is Hard to Do""","Neil Sedaka",1962,15
"""Wolverton Mountain""","Claude King",1962,16
"""Slow Twistin'""","Chubby Checker & Dee Dee Sharp",1962,17
"""It Keeps Right On a-Hurtin'""","Johnny Tillotson",1962,18
"""The One Who Really Loves You""","Mary Wells",1962,19
"""Good Luck Charm""","Elvis Presley",1962,20
"""Surfin' U.S.A.""","The Beach Boys",1963,1
"""The End of the World""","Skeeter Davis",1963,2
"""Rhythm of the Rain""","The Cascades",1963,3
"""He's So Fine""","The Chiffons",1963,4
"""Blue Velvet""","Bobby Vinton",1963,5
"""Hey Paula""","Paul & Paula",1963,6
"""Fingertips – Part 2""","Little Stevie Wonder",1963,7
"""Can't Get Used to Losing You""","Andy Williams",1963,8
"""My Boyfriend's Back""","The Angels",1963,9
"""Sukiyaki""","Kyu Sakamoto",1963,10
"""So Much in Love""","The Tymes",1963,11
"""Puff, the Magic Dragon""","Peter, Paul and Mary",1963,12
"""Blowin' in the Wind""","Peter, Paul and Mary",1963,13
"""Wipe Out""","The Surfaris",1963,14
"""I Love You Because""","Al Martino",1963,15
"""Wild Weekend""","The Rebels",1963,16
"""You're the Reason I'm Living""","Bobby Darin",1963,17
"""Walk Like a Man""","The Four Seasons",1963,18
"""Mockingbird""","Inez and Charlie Foxx",1963,19
"""I Will Follow Him""","Little Peggy March",1963,20
"""I Want to Hold Your Hand""","The Beatles",1964,1
"""She Loves You""","The Beatles",1964,2
"""Hello, Dolly!""","Louis Armstrong",1964,3
"""Oh, Pretty Woman""","Roy Orbison",1964,4
"""I Get Around""","The Beach Boys",1964,5
"""Everybody Loves Somebody""","Dean Martin",1964,6
"""My Guy""","Mary Wells",1964,7
"""We'll Sing in the Sunshine""","Gale Garnett",1964,8
"""Last Kiss""","J. Frank Wilson and the Cavaliers",1964,9
"""Where Did Our Love Go""","The Supremes",1964,10
"""People""","Barbra Streisand",1964,11
"""Java""","Al Hirt",1964,12
"""A Hard Day's Night""","The Beatles",1964,13
"""Love Me Do""","The Beatles",1964,14
"""Do Wah Diddy Diddy""","Manfred Mann",1964,15
"""Please Please Me""","The Beatles",1964,16
"""Dancing in the Street""","Martha and the Vandellas",1964,17
"""Little Children""","Billy J. Kramer & The Dakotas",1964,18
"""Love Me with All Your Heart (Cuando Calienta El Sol)""","The Ray Charles Singers",1964,19
"""Under the Boardwalk""","The Drifters",1964,20
"""Wooly Bully""","Sam the Sham and the Pharaohs",1965,1
"""I Can't Help Myself (Sugar Pie Honey Bunch)""","Four Tops",1965,2
"""(I Can't Get No) Satisfaction""","The Rolling Stones",1965,3
"""You Were on My Mind""","We Five",1965,4
"""You've Lost That Lovin' Feelin'""","The Righteous Brothers",1965,5
"""Downtown""","Petula Clark",1965,6
"""Help!""","The Beatles",1965,7
"""Can't You Hear My Heartbeat""","Herman's Hermits",1965,8
"""Crying in the Chapel""","Elvis Presley",1965,9
"""My Girl""","The Temptations",1965,10
"""Help Me, Rhonda""","The Beach Boys",1965,11
"""King of the Road""","Roger Miller",1965,12
"""The Birds and the Bees""","Jewel Akens",1965,13
"""Hold Me, Thrill Me, Kiss Me""","Mel Carter",1965,14
"""Shotgun""","Junior Walker & the All Stars",1965,15
"""I Got You Babe""","Sonny & Cher",1965,16
"""This Diamond Ring""","Gary Lewis & the Playboys",1965,17
"""The 'In' Crowd""","Ramsey Lewis Trio",1965,18
"""Mrs. Brown, You've Got a Lovely Daughter""","Herman's Hermits",1965,19
"""Stop! In the Name of Love""","The Supremes",1965,20
"""California Dreamin'""","The Mamas & the Papas",1966,1
"""96 Tears""","? and the Mysterians",1966,2
"""What Becomes of the Brokenhearted""","Jimmy Ruffin",1966,3
"""Last Train to Clarksville""","The Monkees",1966,4
"""Reach Out I'll Be There""","Four Tops",1966,5
"""These Boots Are Made for Walkin'""","Nancy Sinatra",1966,6
"""Cherish""","The Association",1966,7
"""Strangers in the Night""","Frank Sinatra",1966,8
"""Kicks""","Paul Revere & the Raiders",1966,9
"""The Ballad of the Green Berets""","SSgt Barry Sadler",1966,10
"""Good Lovin'""","The Young Rascals",1966,11
"""(You're My) Soul and Inspiration""","The Righteous Brothers",1966,12
"""You Can't Hurry Love""","The Supremes",1966,13
"""Sunny""","Bobby Hebb",1966,14
"""See You in September""","The Happenings",1966,15
"""Li'l Red Riding Hood""","Sam the Sham and the Pharaohs",1966,16
"""Lightnin' Strikes""","Lou Christie",1966,17
"""Poor Side of Town""","Johnny Rivers",1966,18
"""Working in the Coal Mine""","Lee Dorsey",1966,19
"""A Groovy Kind of Love""","The Mindbenders",1966,20
"""To Sir With Love""","Lulu",1967,1
"""The Letter""","The Box Tops",1967,2
"""Ode to Billie Joe""","Bobbie Gentry",1967,3
"""Windy""","The Association",1967,4
"""I'm a Believer""","The Monkees",1967,5
"""Light My Fire""","The Doors",1967,6
"""Somethin' Stupid""","Frank & Nancy Sinatra",1967,7
"""Happy Together""","The Turtles",1967,8
"""Groovin'""","The Young Rascals",1967,9
"""Can't Take My Eyes Off You""","Frankie Valli",1967,10
"""Little Bit O' Soul""","The Music Explosion",1967,11
"""I Think We're Alone Now""","Tommy James and the Shondells",1967,12
"""Respect""","Aretha Franklin",1967,13
"""I Was Made to Love Her""","Stevie Wonder",1967,14
"""Come Back When You Grow Up""","Bobby Vee",1967,15
"""Kind of a Drag""","The Buckinghams",1967,16
"""Sweet Soul Music""","Arthur Conley",1967,17
"""Expressway to Your Heart""","Soul Survivors",1967,18
"""Soul Man""","Sam & Dave",1967,19
"""Never My Love""","The Association",1967,20
"""Hey Jude""","The Beatles",1968,1
"""Love is Blue""","Paul Mauriat",1968,2
"""Honey""","Bobby Goldsboro",1968,3
"""(Sittin' On) The Dock of the Bay""","Otis Redding",1968,4
"""People Got to Be Free""","The Rascals",1968,5
"""Sunshine of Your Love""","Cream",1968,6
"""This Guy's in Love with You""","Herb Alpert",1968,7
"""The Good, the Bad and the Ugly""","Hugo Montenegro",1968,8
"""Mrs. Robinson""","Simon & Garfunkel",1968,9
"""Tighten Up""","Archie Bell & the Drells",1968,10
"""Harper Valley PTA""","Jeannie C. Riley",1968,11
"""Little Green Apples""","O. C. Smith",1968,12
"""Mony Mony""","Tommy James and the Shondells",1968,13
"""Hello, I Love You""","The Doors",1968,14
"""Young Girl""","Gary Puckett & The Union Gap",1968,15
"""Cry Like a Baby""","The Box Tops",1968,16
"""Stoned Soul Picnic""","The 5th Dimension",1968,17
"""Grazing in the Grass""","Hugh Masekela",1968,18
"""Midnight Confessions""","The Grass Roots",1968,19
"""Dance to the Music""","Sly and the Family Stone",1968,20
"""Sugar, Sugar""","The Archies",1969,1
"""Aquarius/Let the Sunshine In""","The 5th Dimension",1969,2
"""I Can't Get Next to You""","The Temptations",1969,3
"""Honky Tonk Women""","The Rolling Stones",1969,4
"""Everyday People""","Sly and the Family Stone",1969,5
"""Dizzy""","Tommy Roe",1969,6
"""Hot Fun in the Summertime""","Sly and the Family Stone",1969,7
"""I'll Never Fall in Love Again""","Tom Jones",1969,8
"""Build Me Up Buttercup""","The Foundations",1969,9
"""Crimson and Clover""","Tommy James and the Shondells",1969,10
"""One""","Three Dog Night",1969,11
"""Crystal Blue Persuasion""","Tommy James and the Shondells",1969,12
"""Hair""","The Cowsills",1969,13
"""Too Busy Thinking About My Baby""","Marvin Gaye",1969,14
"""Love Theme from Romeo and Juliet""","Henry Mancini",1969,15
"""Get Together""","The Youngbloods",1969,16
"""Grazing in the Grass""","The Friends of Distinction",1969,17
"""Suspicious Minds""","Elvis Presley",1969,18
"""Proud Mary""","Creedence Clearwater Revival",1969,19
"""What Does It Take (To Win Your Love)""","Jr. Walker & The All Stars",1969,20
"""Bridge Over Troubled Water""","Simon & Garfunkel",1970,1
"""(They Long to Be) Close to You""","The Carpenters",1970,2
"""American Woman""","The Guess Who",1970,3
"""Raindrops Keep Fallin' on My Head""","B.J. Thomas",1970,4
"""War""","Edwin Starr",1970,5
"""Ain't No Mountain High Enough""","Diana Ross",1970,6
"""I'll Be There""","The Jackson 5",1970,7
"""Get Ready""","Rare Earth",1970,8
"""Let It Be""","The Beatles",1970,9
"""Band of Gold""","Freda Payne",1970,10
"""Mama Told Me (Not to Come)""","Three Dog Night",1970,11
"""Everything Is Beautiful""","Ray Stevens",1970,12
"""Make It with You""","Bread",1970,13
"""Hitchin' a Ride""","Vanity Fare",1970,14
"""ABC""","The Jackson 5",1970,15
"""The Love You Save""","The Jackson 5",1970,16
"""Cracklin' Rosie""","Neil Diamond",1970,17
"""Candida""","Dawn",1970,18
"""Thank You (Falettinme Be Mice Elf Agin)""","Sly & the Family Stone",1970,19
"""Spill the Wine""","Eric Burdon & War",1970,20
NA,NA,1971,1
NA,NA,1971,2
NA,NA,1971,3
NA,NA,1971,4
NA,NA,1971,5
NA,NA,1971,6
NA,NA,1971,7
NA,NA,1971,8
NA,NA,1971,9
NA,NA,1971,10
NA,NA,1971,11
NA,NA,1971,12
NA,NA,1971,13
NA,NA,1971,14
NA,NA,1971,15
NA,NA,1971,16
NA,NA,1971,17
NA,NA,1971,18
NA,NA,1971,19
NA,NA,1971,20
"""The First Time Ever I Saw Your Face""","Roberta Flack",1972,1
"""Alone Again (Naturally)""","Gilbert O'Sullivan",1972,2
"""American Pie""","Don McLean",1972,3
"""Without You""","Harry Nilsson",1972,4
"""The Candy Man""","Sammy Davis Jr.",1972,5
"""I Gotcha""","Joe Tex",1972,6
"""Lean on Me""","Bill Withers",1972,7
"""Baby, Don't Get Hooked on Me""","Mac Davis",1972,8
"""Brand New Key""","Melanie",1972,9
"""Daddy Don't You Walk So Fast""","Wayne Newton",1972,10
"""Let's Stay Together""","Al Green",1972,11
"""Brandy (You're a Fine Girl)""","Looking Glass",1972,12
"""Oh Girl""","The Chi-Lites",1972,13
"""Nice to Be with You""","Gallery",1972,14
"""My Ding-a-Ling""","Chuck Berry",1972,15
"""(If Loving You Is Wrong) I Don't Want to Be Right""","Luther Ingram",1972,16
"""Heart of Gold""","Neil Young",1972,17
"""Betcha by Golly, Wow""","The Stylistics",1972,18
"""I'll Take You There""","The Staple Singers",1972,19
"""Ben""","Michael Jackson",1972,20
"""Tie a Yellow Ribbon Round the Ole Oak Tree""","Tony Orlando and Dawn",1973,1
"""Bad, Bad Leroy Brown""","Jim Croce",1973,2
"""Killing Me Softly with His Song""","Roberta Flack",1973,3
"""Let's Get It On""","Marvin Gaye",1973,4
"""My Love""","Paul McCartney & Wings",1973,5
"""Why Me""","Kris Kristofferson",1973,6
"""Crocodile Rock""","Elton John",1973,7
"""Will It Go Round in Circles""","Billy Preston",1973,8
"""You're So Vain""","Carly Simon",1973,9
"""Touch Me in the Morning""","Diana Ross",1973,10
"""The Night the Lights Went Out in Georgia""","Vicki Lawrence",1973,11
"""Playground in My Mind""","Clint Holmes",1973,12
"""Brother Louie""","Stories",1973,13
"""Delta Dawn""","Helen Reddy",1973,14
"""Me and Mrs. Jones""","Billy Paul",1973,15
"""Frankenstein""","The Edgar Winter Group",1973,16
"""Drift Away""","Dobie Gray",1973,17
"""Little Willy""","Sweet",1973,18
"""You Are the Sunshine of My Life""","Stevie Wonder",1973,19
"""Half-Breed""","Cher",1973,20
"""The Way We Were""","Barbra Streisand",1974,1
"""Seasons in the Sun""","Terry Jacks",1974,2
"""Love's Theme""","Love Unlimited Orchestra",1974,3
"""Come and Get Your Love""","Redbone",1974,4
"""Dancing Machine""","The Jackson 5",1974,5
"""The Loco-Motion""","Grand Funk Railroad",1974,6
"""TSOP (The Sound of Philadelphia)""","MFSB",1974,7
"""The Streak""","Ray Stevens",1974,8
"""Bennie and the Jets""","Elton John",1974,9
"""One Hell of a Woman""","Mac Davis",1974,10
"""Until You Come Back to Me (That's What I'm Gonna Do)""","Aretha Franklin",1974,11
"""Jungle Boogie""","Kool & the Gang",1974,12
"""Midnight at the Oasis""","Maria Muldaur",1974,13
"""You Make Me Feel Brand New""","The Stylistics",1974,14
"""Show and Tell""","Al Wilson",1974,15
"""Spiders and Snakes""","Jim Stafford",1974,16
"""Rock On""","David Essex",1974,17
"""Sunshine on My Shoulders""","John Denver",1974,18
"""Sideshow""","Blue Magic",1974,19
"""Hooked on a Feeling""","Blue Swede",1974,20
"""Love Will Keep Us Together""","Captain & Tennille",1975,1
"""Rhinestone Cowboy""","Glen Campbell",1975,2
"""Philadelphia Freedom""","Elton John",1975,3
"""Before the Next Teardrop Falls""","Freddy Fender",1975,4
"""My Eyes Adored You""","Frankie Valli",1975,5
"""Some Kind of Wonderful""","Grand Funk Railroad",1975,6
"""Shining Star""","Earth, Wind & Fire",1975,7
"""Fame""","David Bowie",1975,8
"""Laughter in the Rain""","Neil Sedaka",1975,9
"""One of These Nights""","Eagles",1975,10
"""Thank God I'm a Country Boy""","John Denver",1975,11
"""Jive Talkin'""","Bee Gees",1975,12
"""Best of My Love""","Eagles",1975,13
"""Lovin' You""","Minnie Riperton",1975,14
"""Kung Fu Fighting""","Carl Douglas",1975,15
"""Black Water""","The Doobie Brothers",1975,16
"""The Ballroom Blitz""","Sweet",1975,17
"""(Hey Won't You Play) Another Somebody Done Somebody Wrong Song""","B.J. Thomas",1975,18
"""He Don't Love You (Like I Love You)""","Tony Orlando and Dawn",1975,19
"""At Seventeen""","Janis Ian",1975,20
"""Silly Love Songs""","Wings",1976,1
"""Don't Go Breaking My Heart""","Elton John & Kiki Dee",1976,2
"""Disco Lady""","Johnnie Taylor",1976,3
"""December, 1963 (Oh, What a Night)""","The Four Seasons",1976,4
"""Play That Funky Music""","Wild Cherry",1976,5
"""Kiss and Say Goodbye""","The Manhattans",1976,6
"""Love Machine""","The Miracles",1976,7
"""50 Ways to Leave Your Lover""","Paul Simon",1976,8
"""Love Is Alive""","Gary Wright",1976,9
"""A Fifth of Beethoven""","Walter Murphy & The Big Apple Band",1976,10
"""Sara Smile""","Hall & Oates",1976,11
"""Afternoon Delight""","Starland Vocal Band",1976,12
"""I Write the Songs""","Barry Manilow",1976,13
"""Fly, Robin, Fly""","Silver Convention",1976,14
"""Love Hangover""","Diana Ross",1976,15
"""Get Closer""","Seals and Crofts",1976,16
"""More, More, More""","Andrea True Connection",1976,17
"""Bohemian Rhapsody""","Queen",1976,18
"""Misty Blue""","Dorothy Moore",1976,19
"""Boogie Fever""","The Sylvers",1976,20
"""Tonight's the Night (Gonna Be Alright)""","Rod Stewart",1977,1
"""I Just Want to Be Your Everything""","Andy Gibb",1977,2
"""Best of My Love""","The Emotions",1977,3
"""Evergreen (Love Theme from A Star Is Born)""","Barbra Streisand",1977,4
"""Angel in Your Arms""","Hot",1977,5
"""I Like Dreamin'""","Kenny Nolan",1977,6
"""Don't Leave Me This Way""","Thelma Houston",1977,7
"""(Your Love Has Lifted Me) Higher and Higher""","Rita Coolidge",1977,8
"""Undercover Angel""","Alan O'Day",1977,9
"""Torn Between Two Lovers""","Mary MacGregor",1977,10
"""I'm Your Boogie Man""","KC and the Sunshine Band",1977,11
"""Dancing Queen""","ABBA",1977,12
"""You Make Me Feel Like Dancing""","Leo Sayer",1977,13
"""Margaritaville""","Jimmy Buffett",1977,14
"""Telephone Line""","Electric Light Orchestra",1977,15
"""Whatcha Gonna Do?""","Pablo Cruise",1977,16
"""Do You Wanna Make Love""","Peter McCann",1977,17
"""Sir Duke""","Stevie Wonder",1977,18
"""Hotel California""","Eagles",1977,19
"""Got to Give It Up""","Marvin Gaye",1977,20
"""Shadow Dancing""","Andy Gibb",1978,1
"""Night Fever""","Bee Gees",1978,2
"""You Light Up My Life""","Debby Boone",1978,3
"""Stayin' Alive""","Bee Gees",1978,4
"""Kiss You All Over""","Exile",1978,5
"""How Deep Is Your Love""","Bee Gees",1978,6
"""Baby Come Back""","Player",1978,7
"""(Love Is) Thicker Than Water""","Andy Gibb",1978,8
"""Boogie Oogie Oogie""","A Taste of Honey",1978,9
"""Three Times a Lady""","Commodores",1978,10
"""Grease""","Frankie Valli",1978,11
"""I Go Crazy""","Paul Davis",1978,12
"""You're the One That I Want""","John Travolta & Olivia Newton-John",1978,13
"""Emotion""","Samantha Sang",1978,14
"""Lay Down Sally""","Eric Clapton",1978,15
"""Miss You""","The Rolling Stones",1978,16
"""Just the Way You Are""","Billy Joel",1978,17
"""With a Little Luck""","Wings",1978,18
"""If I Can't Have You""","Yvonne Elliman",1978,19
"""Dance, Dance, Dance (Yowsah, Yowsah, Yowsah)""","Chic",1978,20
"""My Sharona""","The Knack",1979,1
"""Bad Girls""","Donna Summer",1979,2
"""Le Freak""","Chic",1979,3
"""Da Ya Think I'm Sexy?""","Rod Stewart",1979,4
"""Reunited""","Peaches & Herb",1979,5
"""I Will Survive""","Gloria Gaynor",1979,6
"""Hot Stuff""","Donna Summer",1979,7
"""Y.M.C.A.""","Village People",1979,8
"""Ring My Bell""","Anita Ward",1979,9
"""Sad Eyes""","Robert John",1979,10
"""Too Much Heaven""","Bee Gees",1979,11
"""MacArthur Park""","Donna Summer",1979,12
"""When You're in Love with a Beautiful Woman""","Dr. Hook",1979,13
"""Makin' It""","David Naughton",1979,14
"""Fire""","The Pointer Sisters",1979,15
"""Tragedy""","Bee Gees",1979,16
"""A Little More Love""","Olivia Newton-John",1979,17
"""Heart of Glass""","Blondie",1979,18
"""What a Fool Believes""","The Doobie Brothers",1979,19
"""Good Times""","Chic",1979,20
"""Call Me""","Blondie",1980,1
